STATION,NAME,DATE,rain,temp
TH000048459,"CHON BURI, TH",2015/1/24,,26.4
TH000048459,"CHON BURI, TH",2015/1/25,,27.1
TH000048459,"CHON BURI, TH",2015/1/26,,26.8
TH000048459,"CHON BURI, TH",2015/1/27,,27.2
TH000048459,"CHON BURI, TH",2015/1/28,,27.2
TH000048459,"CHON BURI, TH",2015/1/29,,27.8
TH000048459,"CHON BURI, TH",2015/1/30,,28.6
TH000048459,"CHON BURI, TH",2015/1/31,,27.7
TH000048459,"CHON BURI, TH",2015/2/1,,26.4
TH000048459,"CHON BURI, TH",2015/2/2,,27
TH000048459,"CHON BURI, TH",2015/2/3,,28.1
TH000048459,"CHON BURI, TH",2015/2/4,,28.5
TH000048459,"CHON BURI, TH",2015/2/5,,27.5
TH000048459,"CHON BURI, TH",2015/2/6,,26.7
TH000048459,"CHON BURI, TH",2015/2/7,,26.7
TH000048459,"CHON BURI, TH",2015/2/8,,27.1
TH000048459,"CHON BURI, TH",2015/2/9,,26.9
TH000048459,"CHON BURI, TH",2015/2/10,,26.8
TH000048459,"CHON BURI, TH",2015/2/11,,27.6
TH000048459,"CHON BURI, TH",2015/2/12,,27.8
TH000048459,"CHON BURI, TH",2015/2/13,,28.2
TH000048459,"CHON BURI, TH",2015/2/14,0,27.3
TH000048459,"CHON BURI, TH",2015/2/15,0,27.7
TH000048459,"CHON BURI, TH",2015/2/16,,27.7
TH000048459,"CHON BURI, TH",2015/2/17,,28.2
TH000048459,"CHON BURI, TH",2015/2/18,,28.6
TH000048459,"CHON BURI, TH",2015/2/19,3.3,27.7
TH000048459,"CHON BURI, TH",2015/2/20,10.4,28.1
TH000048459,"CHON BURI, TH",2015/2/21,,28.1
TH000048459,"CHON BURI, TH",2015/2/22,,28.1
TH000048459,"CHON BURI, TH",2015/2/23,,28.2
TH000048459,"CHON BURI, TH",2015/2/24,,28.6
TH000048459,"CHON BURI, TH",2015/2/25,,29.2
TH000048459,"CHON BURI, TH",2015/2/26,,29.2
TH000048459,"CHON BURI, TH",2015/2/27,,29.8
TH000048459,"CHON BURI, TH",2015/2/28,,29.2
TH000048459,"CHON BURI, TH",2015/3/1,,29.8
TH000048459,"CHON BURI, TH",2015/3/2,0.3,27.8
TH000048459,"CHON BURI, TH",2015/3/3,,28.9
TH000048459,"CHON BURI, TH",2015/3/4,,29.6
TH000048459,"CHON BURI, TH",2015/3/5,,29.8
TH000048459,"CHON BURI, TH",2015/3/6,,29.8
TH000048459,"CHON BURI, TH",2015/3/7,,29.7
TH000048459,"CHON BURI, TH",2015/3/8,,29.4
TH000048459,"CHON BURI, TH",2015/3/9,,29.5
TH000048459,"CHON BURI, TH",2015/3/10,,29.7
TH000048459,"CHON BURI, TH",2015/3/11,,29.7
TH000048459,"CHON BURI, TH",2015/3/12,,29.7
TH000048459,"CHON BURI, TH",2015/3/13,,29.9
TH000048459,"CHON BURI, TH",2015/3/14,,29.8
TH000048459,"CHON BURI, TH",2015/3/15,,29.7
TH000048459,"CHON BURI, TH",2015/3/16,,29.7
TH000048459,"CHON BURI, TH",2015/3/17,,29.9
TH000048459,"CHON BURI, TH",2015/3/18,,29.8
TH000048459,"CHON BURI, TH",2015/3/19,,29.7
TH000048459,"CHON BURI, TH",2015/3/20,,30.1
TH000048459,"CHON BURI, TH",2015/3/21,25.7,29.8
TH000048459,"CHON BURI, TH",2015/3/22,24.1,29.2
TH000048459,"CHON BURI, TH",2015/3/23,,29.4
TH000048459,"CHON BURI, TH",2015/3/24,27.7,27.3
TH000048459,"CHON BURI, TH",2015/3/25,25.9,27.7
TH000048459,"CHON BURI, TH",2015/3/26,0,28.5
TH000048459,"CHON BURI, TH",2015/3/27,2,29.3
TH000048459,"CHON BURI, TH",2015/3/28,,29.1
TH000048459,"CHON BURI, TH",2015/3/29,1,28.3
TH000048459,"CHON BURI, TH",2015/3/30,0.5,29.9
TH000048459,"CHON BURI, TH",2015/3/31,,30.7
TH000048459,"CHON BURI, TH",2015/4/1,,30.7
TH000048459,"CHON BURI, TH",2015/4/2,,31.1
TH000048459,"CHON BURI, TH",2015/4/3,,30.9
TH000048459,"CHON BURI, TH",2015/4/4,,31
TH000048459,"CHON BURI, TH",2015/4/5,,30.6
TH000048459,"CHON BURI, TH",2015/4/6,,30.9
TH000048459,"CHON BURI, TH",2015/4/7,,31.3
TH000048459,"CHON BURI, TH",2015/4/8,27.9,26.8
TH000048459,"CHON BURI, TH",2015/4/9,27.7,29.9
TH000048459,"CHON BURI, TH",2015/4/10,0,30.4
TH000048459,"CHON BURI, TH",2015/4/11,37.8,30
TH000048459,"CHON BURI, TH",2015/4/12,0.5,29.2
