STATION,NAME,DATE,rain,temp
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/14,3.6,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/15,,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/16,19.1,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/17,13.2,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/18,10.7,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/19,0.3,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/20,0.8,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/21,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/22,9.4,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/23,7.9,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/24,17.5,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/25,,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/26,60.2,28
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/27,1.8,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/28,53.3,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/29,0.5,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/30,0,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/31,,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/1,2.8,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/2,12.7,27.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/3,2.3,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/4,2.3,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/5,2.3,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/6,10.2,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/7,2.8,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/8,5.1,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/9,,30.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/10,,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/11,0,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/12,0,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/13,0.5,29.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/14,31,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/15,1.8,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/16,21.1,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/17,21.1,28.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/18,0.8,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/19,,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/20,,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/21,,30.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/22,3.3,30
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/23,0,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/24,19.3,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/25,22.9,27.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/26,1.8,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/27,2.8,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/28,18.5,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/29,14,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/9/30,23.6,27.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/1,0,29
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/2,0,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/3,,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/4,,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/5,3,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/6,16.5,27.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/7,3.3,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/8,19.8,26.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/9,7.6,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/10,0.5,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/11,40.9,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/12,22.4,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/13,0,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/14,0,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/15,,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/16,,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/17,6.1,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/18,,30.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/19,1.5,28.3
