STATION,NAME,DATE,rain,temp
TH000048400,"NAKHON SAWAN, TH",2014/7/30,31.5,27.8
TH000048400,"NAKHON SAWAN, TH",2014/7/31,0.3,29.4
TH000048400,"NAKHON SAWAN, TH",2014/8/1,2,29.2
TH000048400,"NAKHON SAWAN, TH",2014/8/2,1.5,28.8
TH000048400,"NAKHON SAWAN, TH",2014/8/3,,29.4
TH000048400,"NAKHON SAWAN, TH",2014/8/4,10.9,28.8
TH000048400,"NAKHON SAWAN, TH",2014/8/5,0.5,28.9
TH000048400,"NAKHON SAWAN, TH",2014/8/6,9.4,27.3
TH000048400,"NAKHON SAWAN, TH",2014/8/7,2.8,27.8
TH000048400,"NAKHON SAWAN, TH",2014/8/8,2.5,27.9
TH000048400,"NAKHON SAWAN, TH",2014/8/9,1,28.8
TH000048400,"NAKHON SAWAN, TH",2014/8/10,0,29.4
TH000048400,"NAKHON SAWAN, TH",2014/8/11,10.2,29
TH000048400,"NAKHON SAWAN, TH",2014/8/12,0.8,29.6
TH000048400,"NAKHON SAWAN, TH",2014/8/13,0.5,29.7
TH000048400,"NAKHON SAWAN, TH",2014/8/14,3.8,28.4
TH000048400,"NAKHON SAWAN, TH",2014/8/15,0.3,28.7
TH000048400,"NAKHON SAWAN, TH",2014/8/16,3.3,27.9
TH000048400,"NAKHON SAWAN, TH",2014/8/17,0,30.6
TH000048400,"NAKHON SAWAN, TH",2014/8/18,,29.9
TH000048400,"NAKHON SAWAN, TH",2014/8/19,3.3,28.2
TH000048400,"NAKHON SAWAN, TH",2014/8/20,133.9,26.8
TH000048400,"NAKHON SAWAN, TH",2014/8/21,3.3,28.1
TH000048400,"NAKHON SAWAN, TH",2014/8/22,0.8,28.3
TH000048400,"NAKHON SAWAN, TH",2014/8/23,0.5,27.9
TH000048400,"NAKHON SAWAN, TH",2014/8/24,0,29
TH000048400,"NAKHON SAWAN, TH",2014/8/25,0,29.6
TH000048400,"NAKHON SAWAN, TH",2014/8/26,0,28.4
TH000048400,"NAKHON SAWAN, TH",2014/8/27,0,27.8
TH000048400,"NAKHON SAWAN, TH",2014/8/28,0.8,27.5
TH000048400,"NAKHON SAWAN, TH",2014/8/29,0.3,27.7
TH000048400,"NAKHON SAWAN, TH",2014/8/30,20.3,26.6
TH000048400,"NAKHON SAWAN, TH",2014/8/31,7.6,26.9
