STATION,NAME,DATE,rain,temp
TH000048327,"CHIANG MAI, TH",2014/5/17,26.9,28.3
TH000048327,"CHIANG MAI, TH",2014/5/18,7.9,27.4
TH000048327,"CHIANG MAI, TH",2014/5/19,,27.7
TH000048327,"CHIANG MAI, TH",2014/5/20,,29.4
TH000048327,"CHIANG MAI, TH",2014/5/21,0,28.9
TH000048327,"CHIANG MAI, TH",2014/5/22,0,29.3
TH000048327,"CHIANG MAI, TH",2014/5/23,,30.3
TH000048327,"CHIANG MAI, TH",2014/5/24,,31.2
TH000048327,"CHIANG MAI, TH",2014/5/25,,31.7
TH000048327,"CHIANG MAI, TH",2014/5/26,,30.5
TH000048327,"CHIANG MAI, TH",2014/5/27,6.9,29.2
TH000048327,"CHIANG MAI, TH",2014/5/28,9.4,28.6
TH000048327,"CHIANG MAI, TH",2014/5/29,0.5,26.9
TH000048327,"CHIANG MAI, TH",2014/5/30,19.3,27.7
TH000048327,"CHIANG MAI, TH",2014/5/31,22.6,27.9
TH000048327,"CHIANG MAI, TH",2014/6/1,12.7,27.3
TH000048327,"CHIANG MAI, TH",2014/6/2,0.5,28.9
TH000048327,"CHIANG MAI, TH",2014/6/3,,30.1
TH000048327,"CHIANG MAI, TH",2014/6/4,,30.4
TH000048327,"CHIANG MAI, TH",2014/6/5,,30.9
TH000048327,"CHIANG MAI, TH",2014/6/6,2.3,27.7
TH000048327,"CHIANG MAI, TH",2014/6/7,1,28.3
TH000048327,"CHIANG MAI, TH",2014/6/8,0.8,28.2
TH000048327,"CHIANG MAI, TH",2014/6/9,11.9,27.5
TH000048327,"CHIANG MAI, TH",2014/6/10,0.5,28.8
TH000048327,"CHIANG MAI, TH",2014/6/11,0.3,28.4
TH000048327,"CHIANG MAI, TH",2014/6/12,0.5,28.7
TH000048327,"CHIANG MAI, TH",2014/6/13,7.6,27.3
TH000048327,"CHIANG MAI, TH",2014/6/14,2.8,27
TH000048327,"CHIANG MAI, TH",2014/6/15,0.3,27.7
TH000048327,"CHIANG MAI, TH",2014/6/16,9.7,27.1
TH000048327,"CHIANG MAI, TH",2014/6/17,6.1,27.2
TH000048327,"CHIANG MAI, TH",2014/6/18,3.3,27.9
TH000048327,"CHIANG MAI, TH",2014/6/19,0.8,27.7
TH000048327,"CHIANG MAI, TH",2014/6/20,0.8,28.5
TH000048327,"CHIANG MAI, TH",2014/6/21,0.3,29.1
TH000048327,"CHIANG MAI, TH",2014/6/22,0,29.8
TH000048327,"CHIANG MAI, TH",2014/6/23,1.8,28.6
TH000048327,"CHIANG MAI, TH",2014/6/24,0.3,29.1
TH000048327,"CHIANG MAI, TH",2014/6/25,1.8,27.8
TH000048327,"CHIANG MAI, TH",2014/6/26,0,27.7
TH000048327,"CHIANG MAI, TH",2014/6/27,0.3,28
TH000048327,"CHIANG MAI, TH",2014/6/28,0,29.4
TH000048327,"CHIANG MAI, TH",2014/6/29,,30
TH000048327,"CHIANG MAI, TH",2014/6/30,0.5,28.8
TH000048327,"CHIANG MAI, TH",2014/7/1,,28.8
TH000048327,"CHIANG MAI, TH",2014/7/2,,29.6
TH000048327,"CHIANG MAI, TH",2014/7/3,,29
TH000048327,"CHIANG MAI, TH",2014/7/4,,29.9
TH000048327,"CHIANG MAI, TH",2014/7/5,,30.2
TH000048327,"CHIANG MAI, TH",2014/7/6,5.6,28.8
TH000048327,"CHIANG MAI, TH",2014/7/7,4.3,26.9
TH000048327,"CHIANG MAI, TH",2014/7/8,9.4,25.8
TH000048327,"CHIANG MAI, TH",2014/7/9,4.1,27.1
TH000048327,"CHIANG MAI, TH",2014/7/10,0,28
TH000048327,"CHIANG MAI, TH",2014/7/11,4.8,27.9
TH000048327,"CHIANG MAI, TH",2014/7/12,,29.1
TH000048327,"CHIANG MAI, TH",2014/7/13,3.8,26.8
TH000048327,"CHIANG MAI, TH",2014/7/14,19.8,27.6
TH000048327,"CHIANG MAI, TH",2014/7/15,0.3,27.5
TH000048327,"CHIANG MAI, TH",2014/7/16,0,27.9
TH000048327,"CHIANG MAI, TH",2014/7/17,2.3,27.9
TH000048327,"CHIANG MAI, TH",2014/7/18,2,27.2
TH000048327,"CHIANG MAI, TH",2014/7/19,1,26.7
TH000048327,"CHIANG MAI, TH",2014/7/20,0.5,27.6
TH000048327,"CHIANG MAI, TH",2014/7/21,0,26.4
TH000048327,"CHIANG MAI, TH",2014/7/22,3,25.9
TH000048327,"CHIANG MAI, TH",2014/7/23,0.3,26.2
TH000048327,"CHIANG MAI, TH",2014/7/24,9.4,28.6
TH000048327,"CHIANG MAI, TH",2014/7/25,14.5,28.4
TH000048327,"CHIANG MAI, TH",2014/7/26,66.5,27.6
TH000048327,"CHIANG MAI, TH",2014/7/27,11.4,26
TH000048327,"CHIANG MAI, TH",2014/7/28,0.3,26.8
TH000048327,"CHIANG MAI, TH",2014/7/29,0.3,26.7
TH000048327,"CHIANG MAI, TH",2014/7/30,,28.6
TH000048327,"CHIANG MAI, TH",2014/7/31,7.6,27.9
TH000048327,"CHIANG MAI, TH",2014/8/1,,29.1
TH000048327,"CHIANG MAI, TH",2014/8/2,1.8,27.6
TH000048327,"CHIANG MAI, TH",2014/8/3,0.3,27.9
TH000048327,"CHIANG MAI, TH",2014/8/4,1.8,27.3
TH000048327,"CHIANG MAI, TH",2014/8/5,6.1,26.6
TH000048327,"CHIANG MAI, TH",2014/8/6,0.5,26.1
TH000048327,"CHIANG MAI, TH",2014/8/7,0,27.1
TH000048327,"CHIANG MAI, TH",2014/8/8,7.1,27.1
TH000048327,"CHIANG MAI, TH",2014/8/9,0.3,27.1
TH000048327,"CHIANG MAI, TH",2014/8/10,2.3,27.4
TH000048327,"CHIANG MAI, TH",2014/8/11,8.9,27.7
TH000048327,"CHIANG MAI, TH",2014/8/12,7.9,28.1
TH000048327,"CHIANG MAI, TH",2014/8/13,18.8,26.3
TH000048327,"CHIANG MAI, TH",2014/8/14,10.2,25.1
TH000048327,"CHIANG MAI, TH",2014/8/15,3.8,26.7
TH000048327,"CHIANG MAI, TH",2014/8/16,,28.1
TH000048327,"CHIANG MAI, TH",2014/8/17,,28.9
TH000048327,"CHIANG MAI, TH",2014/8/18,15.7,26.3
TH000048327,"CHIANG MAI, TH",2014/8/19,6.6,26.9
TH000048327,"CHIANG MAI, TH",2014/8/20,1.8,26.1
TH000048327,"CHIANG MAI, TH",2014/8/21,0.5,26.7
TH000048327,"CHIANG MAI, TH",2014/8/22,0,27.6
TH000048327,"CHIANG MAI, TH",2014/8/23,0.8,28.3
TH000048327,"CHIANG MAI, TH",2014/8/24,7.6,28.2
TH000048327,"CHIANG MAI, TH",2014/8/25,,27.5
TH000048327,"CHIANG MAI, TH",2014/8/26,15,26.8
TH000048327,"CHIANG MAI, TH",2014/8/27,2,26.9
TH000048327,"CHIANG MAI, TH",2014/8/28,17.3,27.3
TH000048327,"CHIANG MAI, TH",2014/8/29,33.8,25.1
