date, pm10, o3, no2
2020/11/26,80,11, 
2020/11/27,43,16, 
2020/11/28,48,19, 
2020/11/29,39,18, 
2020/11/30,40,18, 
2020/12/1,51,14, 
2020/12/2,43,16, 
2020/12/3,47,15, 
2020/12/4,43,17, 
2020/12/5,52,19, 
2020/12/6,59,19, 
2020/12/7,53,17, 
2020/12/8,52,19, 
2020/12/9,58,19, 
2020/12/10,60,20, 
2020/12/11,53,19, 
2020/12/12,62,22, 
2020/12/13,67,18, 
2020/12/14,62,12, 
2020/12/15,48,14, 
2020/12/16,40,15, 
2020/12/17,44,16, 
2020/12/18,40,15, 
2020/12/19,33,16, 
2020/12/20,37,13, 
2020/12/21,39,14, 
2020/12/22,50,15, 
2020/12/23,50,17, 
2020/12/24,93,17, 
2020/12/25,57,14, 
2020/12/26,57,20, 
2020/12/27,63,23, 
2020/12/28,63,17, 
2020/12/29,60,12, 
2020/12/30,43,17, 
2020/12/31,39,18, 
2021/1/1,47,18, 
2021/1/2,63,21, 
2021/1/3,57,14, 
2020/7/1,60,9, 
2020/7/2,62,10, 
2020/7/3,67,8, 
2020/7/4,30,12, 
2020/7/5,24,13, 
2020/7/6,34,16, 
2020/7/7,35,14, 
2020/7/8,67,14, 
2020/7/9,65,15, 
2020/7/10,28,12, 
2020/7/11,32,13, 
2020/7/12,27,10, 
2020/7/13,26,12, 
2020/7/14,27,11, 
2020/7/15,27,12, 
2020/7/16,27,11, 
2020/7/17,27,11, 
2020/7/18,66,11, 
2020/7/19,74,13, 
2020/7/20,37,10, 
2020/7/21,30,16, 
2020/7/22,40,15, 
2020/7/23,77,21, 
2020/7/24,39,16, 
2020/7/25,39,17, 
2020/7/26,36,11, 
2020/7/27,27,8, 
2020/7/28,21,11, 
2020/7/29,22,12, 
2020/7/30,25,12, 
2020/7/31,21,8, 
2020/8/1,23,5, 
2020/8/2,133,7, 
2020/8/3,34,9, 
2020/8/4,28,9, 
2020/8/5,19,8, 
2020/8/6,24,6, 
2020/8/7,35,13, 
2020/8/8,21,10, 
2020/8/9,24,7, 
2020/8/10,22,9, 
2020/8/11,23,10, 
2020/8/12,25,10, 
2020/8/13,29,10, 
2020/8/14,68,10, 
2020/8/15,30,11, 
2020/8/16,32,11, 
2020/8/17,33,12, 
2020/8/18,37,11, 
2020/8/19,32,10, 
2020/8/20,33,10, 
2020/8/21,26,10, 
2020/8/22,21,8, 
2020/8/23,30,7, 
2020/8/24,105,11, 
2020/8/25,34,12, 
2020/8/26,25,8, 
2020/8/27,23,11, 
2020/8/28,27,15, 
2020/8/29,39,17, 
2020/8/30,42,12, 
2020/8/31,22,16, 
2020/9/1,21,15, 
2020/9/2,20,13, 
2020/9/3,27,8, 
2020/9/4,32,18, 
2020/9/5,27,10, 
2020/9/6,16,8, 
2020/9/7,17,10, 
2020/9/8,24,12, 
2020/9/9,24,9, 
2020/9/10,31,12, 
2020/9/11,144,12, 
2020/9/12,30,14, 
2020/9/13,43,12, 
2020/9/14,50,15, 
2020/9/15,37,15, 
2020/9/16,151,14, 
2020/9/17,28,7, 
2020/9/18,13,2, 
2020/9/19,22,9, 
2020/9/20,30,8, 
2020/9/21,29,9, 
2020/9/22,35,7, 
2020/9/23,36,10, 
2020/9/24,24,9, 
2020/9/25,23,11, 
2020/9/26,22,11, 
2020/9/27,25,8, 
2020/9/28,26,10, 
2020/9/29,29,8, 
2020/9/30,24,11, 
2020/4/1,56,26,3
2020/4/2,57,25,5
2020/4/3,61,27,4
2020/4/4,85,25,3
2020/4/5,48,23,3
2020/4/6,51,26,5
2020/4/7,45,25,4
2020/4/8,37,20,4
2020/4/9,40,21,4
2020/4/10,48,23,7
2020/4/11,42,22,4
2020/4/12,33,18,5
2020/4/13,40,22,6
2020/4/14,86,25,7
2020/4/15,43,26,4
2020/4/16,36,24,3
2020/4/17,31,19,5
2020/4/18,26,19,3
2020/4/19,31,16,4
2020/4/20,33,20,4
2020/4/21,40,23,5
2020/4/22,43,24,5
2020/4/23,31,23,5
2020/4/24,21,19,3
2020/4/25,25,23,4
2020/4/26,25,6,3
2020/4/27,31,21,4
2020/4/28,47,20,6
2020/4/29,39,24,4
2020/4/30,34,18,5
2020/5/1,38,25,4
2020/5/2,44,25,6
2020/5/3,43,16,3
2020/5/4,44,23, 
2020/5/5,42,23, 
2020/5/6,35,19, 
2020/5/7,31,21, 
2020/5/8,33,18, 
2020/5/9,30,14, 
2020/5/10,27,15, 
2020/5/11,34,23, 
2020/5/12,39,21, 
2020/5/13,74,19, 
2020/5/14,45,21, 
2020/5/15,48,19, 
2020/5/16,49,19, 
2020/5/17,40,14, 
2020/5/18,33,10, 
2020/5/19,36,12, 
2020/5/20,38,15, 
2020/5/21,52,19, 
2020/5/22,49,19, 
2020/5/23,46,9, 
2020/5/24,42,16, 
2020/5/25,36,12, 
2020/5/26,31,12, 
2020/5/27,29,16, 
2020/5/28,29,15, 
2020/5/29,27,13, 
2020/5/30,29,14, 
2020/5/31,29,17, 
2020/6/1,29,11, 
2020/6/2,31,16, 
2020/6/3,31,15, 
2020/6/4,32,14, 
2020/6/5,26,11, 
