DATE,STATION,NAME,rain,temp,pm10,o3,no2,td
6/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",22.4,29.1,31,19,16,5.7
6/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",16,29.1,28,11,15,8.45270936
6/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",2,30,31,15,14,6.5
6/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.6,38,15,16,6.7
6/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.4,45,10,18,7.4
6/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",33.3,29.2,53,13,16,8.45270936
6/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",16,28.5,54,16,19,8.45270936
6/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",1,29.7,38,17,17,7.9
6/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.4,31,9,14,9.3
6/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,28.6,26,6,13,8.45270936
6/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",3,27.9,31,9,21,8.45270936
6/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.3,40,13,16,10.2
6/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.5,40,14,12,9.6
6/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",6.6,30,38,14,19,8.45270936
6/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.5,29.2,41,11,17,8.45270936
7/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30,37,22,17,8.4
7/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",8.6,30.3,35,23,17,9.3
7/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.5,30.4,30,25,16,9.4
7/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",2,30.9,26,19,15,8.5
7/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.9,23,20,13,8.6
7/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.2,22,17,14,8.6
7/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.8,18,12,13,6.7
7/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",10.4,29.1,18,13,15,8.45270936
7/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29,17,11,15,6.4
7/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.4,17,15,12,5.9
7/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,24,15,11,6.7
7/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.7,26,25,14,11.9
7/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",22.6,28.7,21,13,21,8.45270936
7/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.9,28.3,22,14,18,7.3
