date,pm10,o3,no2,rain,temp
9/30/2014,42,30,18,0,29.1
10/1/2014,37,33,16,0,29.1
10/2/2014,39,40,15,0,28.9
10/3/2014,36,22,18,0,28.9
10/4/2014,23,23,9,6.6,27.5
10/5/2014,26,41,13,0,27.2
10/6/2014,58,33,14,0,28.7
10/7/2014,45,30,14,0,29
10/8/2014,42,30,13,0,29.3
10/9/2014,31,35,12,0,29.2
10/10/2014,40,36,17,0,29.5
10/11/2014,55,37,21,0,28.8
10/12/2014,39,40,23,0,28.4
10/13/2014,37,28,26,0,29.1
10/14/2014,39,30,25,0,28.5
10/15/2014,34,21,18,0,29
10/16/2014,28,16,18,32.6,27.5
10/17/2014,33,16,22,2.4,28.4
10/18/2014,47,36,17,2.8,27.4
10/19/2014,46,30,19,0,27.6
10/20/2014,37,16,23,0,28.8
10/21/2014,32,12,24,4.6,27.2
10/22/2014,37,21,32,6,26
10/23/2014,40,35,22,0,28.2
10/24/2014,34,31,20,0,28.7
10/25/2014,27,22,12,0,29.2
10/26/2014,22,10,16,0,29.4
10/27/2014,26,8,21,32.8,27.5
10/28/2014,37,11,21,3.2,28
10/29/2014,33,6,27,0,29
10/30/2014,34,27,25,11.6,28.5
10/31/2014,33,27,25,17.4,27.7
11/1/2014,37,42,16,4.4,28.3
11/2/2014,54,33,19,0,29.3
11/3/2014,44,36,18,0,29.6
11/4/2014,35,36,18,0,29.7
11/5/2014,33,26,23,20.6,27.7
11/6/2014,24,21,25,12.4,26.1
11/7/2014,23,24,21,10.4,26.5
11/8/2014,16,19,16,50.4,27.2
11/9/2014,25,21,23,4.4,27.3
11/10/2014,24,18,25,1.4,27.1
11/11/2014,36,23,30,5,26.7
11/12/2014,28,30,20,0.4,27.2
11/13/2014,20,30,15,64.4,27
11/14/2014,16,24,19,0.2,27.8
11/15/2014,15,16,15,13.6,27.1
11/16/2014,17,20,18,8,26.4
11/17/2014,16,6,18,0.2,26.5
11/18/2014,17,27,14,7.6,25.6
11/19/2014,15,16,18,0,27.6
11/20/2014,18,16,20,0,27.8
11/21/2014,17,19,17,0.2,27.4
11/22/2014,18,18,14,1.6,27.9
11/23/2014,17,16,19,3.2,27.9
11/24/2014,17,18,17,1.6,27.7
11/25/2014,18,18,18,0.2,28
11/26/2014,18,18,17,39.4,27.3
11/27/2014,20,17,16,0,27.7
11/28/2014,14,13,15,0.6,28
11/29/2014,16,23,15,0.6,26.6
11/30/2014,19,12,20,0,27.9
12/1/2014,20,16,22,26.4,26.4
12/2/2014,24,29,19,0,28
12/3/2014,22,17,19,0,28.6
12/4/2014,26,42,21,18.8,25.9
12/5/2014,25,20,17,0,28
12/6/2014,17,23,14,27.4,26.8
12/7/2014,14,18,15,35.2,26.8
12/8/2014,17,21,15,0,27
12/9/2014,23,22,14,0,28
12/10/2014,23,23,16,0,28.4
12/11/2014,21,24,17,0,28.2
12/12/2014,18,23,18,0,28.4
12/13/2014,19,22,15,0,28.6
12/14/2014,15,16,11,0,28.9
12/15/2014,13,14,14,0,27.9
12/16/2014,14,13,17,5,26.8
12/17/2014,15,16,14,17.6,26.4
12/18/2014,13,18,15,0,27.8
12/19/2014,13,20,15,15.6,25.2
12/20/2014,11,21,12,0.4,26.9
12/21/2014,11,17,13,0.4,27.2
12/22/2014,14,11,14,0.6,26.8
12/23/2014,15,14,15,0.2,26.4
12/24/2014,14,19,15,0.6,26.9
12/25/2014,18,15,19,36.4,27.3
12/26/2014,16,19,20,48.2,25.4
12/27/2014,13,19,10,9.6,26
12/28/2014,25.33,18.309,14.141,1.2,26.2
12/29/2014,25.33,18.309,14.141,2,25.8
12/30/2014,25.33,18.309,14.141,0,25.5
12/31/2014,23,34,16,0,26.3
1/1/2015,25,26,14,0.6,25.8
1/2/2015,30,25,8,0,26.8
1/3/2015,20,27,7,0,27.1
1/4/2015,14,25,11,0,27.7
1/5/2015,18,20,11,0,27.8
1/6/2015,14,16,14,21.8,26.6
1/7/2015,11,13,14,22.4,26.2
1/8/2015,11,13,10,0.8,25.8
1/9/2015,11,22,13,0.4,25
1/10/2015,16,19,8,33.6,25.9
1/11/2015,16,20,10,0,26.7
1/12/2015,20,23,11,0,27.3
1/13/2015,18,24,10,0,27.4
1/14/2015,19,24,9,0,27.6
1/15/2015,20,24,8,0,27.2
1/16/2015,22,30,6,0,26.9
1/17/2015,21,23,4,0,26.8
1/18/2015,27,28,9,0,26.7
1/19/2015,30,27,7,0,27
1/20/2015,34,21,11,0,27
1/21/2015,34,30,8,0,26.9
1/22/2015,34,25,10,0,27.2
1/23/2015,31,29,7,0,26.8
1/24/2015,40,43,5,0,27
1/25/2015,39,29,8,0,27.1
1/26/2015,32,24,9,0,27
1/27/2015,25,20,11,0,27.3
1/28/2015,21,10,17,0,27.4
1/29/2015,15,18,15,0,26.5
1/30/2015,19,20,14,0,26.9
1/31/2015,20,24,12,0,27.3
2/1/2015,22,18,12,0,26.5
2/2/2015,23,19,6,3.4,25.9
2/3/2015,16,17,12,0.2,25.8
2/4/2015,21,20,11,0.2,25.8
2/5/2015,20,20,14,0,26.9
2/6/2015,23,29,13,10.8,26.2
2/7/2015,28,31,10,0.2,26.7
2/8/2015,28,30,9,0,26.7
2/9/2015,25.33,18.309,14.141,0,26.9
