DATE,STATION,NAME,rain,temp,pm10,o3,no2
4/4/2014,TH000048459,"CHON BURI, TH",11.9,29.2,6,13,12
4/5/2014,TH000048459,"CHON BURI, TH",5.3,28.1,9,11,20
4/6/2014,TH000048459,"CHON BURI, TH",0,29.4,8,16,12
4/7/2014,TH000048459,"CHON BURI, TH",8.320996441,30.9,5,21,11
4/8/2014,TH000048459,"CHON BURI, TH",8.320996441,31.1,29.97211155,20,12
4/9/2014,TH000048459,"CHON BURI, TH",8.320996441,30.7,10,26,19
4/10/2014,TH000048459,"CHON BURI, TH",8.320996441,31.1,14,24,17
4/11/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,18,20
4/12/2014,TH000048459,"CHON BURI, TH",8.320996441,29.8,14,27,12
4/13/2014,TH000048459,"CHON BURI, TH",13.5,29.6,13,8,9
4/14/2014,TH000048459,"CHON BURI, TH",9.9,29.2,29.97211155,19.47660691,13
4/15/2014,TH000048459,"CHON BURI, TH",2.3,30.1,9,19.47660691,5
4/16/2014,TH000048459,"CHON BURI, TH",0,30.7,7,19.47660691,13
4/17/2014,TH000048459,"CHON BURI, TH",10.4,31.2,7,20,9
4/18/2014,TH000048459,"CHON BURI, TH",9.9,31.3,8,16,8
4/19/2014,TH000048459,"CHON BURI, TH",0,31.3,7,24,14
4/20/2014,TH000048459,"CHON BURI, TH",8.320996441,31.2,7,20,9
4/21/2014,TH000048459,"CHON BURI, TH",8.320996441,31.6,6,18,16
4/22/2014,TH000048459,"CHON BURI, TH",8.320996441,31.9,6,16,18
4/23/2014,TH000048459,"CHON BURI, TH",8.320996441,31.6,8,21,12
4/24/2014,TH000048459,"CHON BURI, TH",8.320996441,31.8,13,16,12
4/25/2014,TH000048459,"CHON BURI, TH",8.320996441,31.8,29.97211155,19.47660691,16
4/26/2014,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,20,8.663632423
4/27/2014,TH000048459,"CHON BURI, TH",8.320996441,32,29.97211155,18,4
4/28/2014,TH000048459,"CHON BURI, TH",8.320996441,31.3,29.97211155,19,21
4/29/2014,TH000048459,"CHON BURI, TH",1.3,30.6,29.97211155,21,12
4/30/2014,TH000048459,"CHON BURI, TH",8.320996441,30.8,9,27,13
5/1/2014,TH000048459,"CHON BURI, TH",8.320996441,31.9,7,14,7
5/2/2014,TH000048459,"CHON BURI, TH",8.320996441,30.3,5,19.47660691,10
5/3/2014,TH000048459,"CHON BURI, TH",8.320996441,30.6,29.97211155,19.47660691,8.663632423
5/4/2014,TH000048459,"CHON BURI, TH",8.320996441,30.7,29.97211155,19.47660691,8.663632423
5/5/2014,TH000048459,"CHON BURI, TH",3.3,30.7,29.97211155,20,8.663632423
5/6/2014,TH000048459,"CHON BURI, TH",16.5,28.4,8,13,15
5/7/2014,TH000048459,"CHON BURI, TH",8.320996441,28.9,6,27,16
5/8/2014,TH000048459,"CHON BURI, TH",8.320996441,31.4,9,19.47660691,8.663632423
5/9/2014,TH000048459,"CHON BURI, TH",8.320996441,32.1,29.97211155,19.47660691,8.663632423
5/10/2014,TH000048459,"CHON BURI, TH",2.3,30.2,29.97211155,19.47660691,8.663632423
5/11/2014,TH000048459,"CHON BURI, TH",8.320996441,31.8,29.97211155,14,8.663632423
5/12/2014,TH000048459,"CHON BURI, TH",8.320996441,32.4,4,19.47660691,8.663632423
5/13/2014,TH000048459,"CHON BURI, TH",4.6,31.5,29.97211155,11,8.663632423
5/14/2014,TH000048459,"CHON BURI, TH",2,32.3,6,19.47660691,10
5/15/2014,TH000048459,"CHON BURI, TH",0,33.1,5,19.47660691,29
5/16/2014,TH000048459,"CHON BURI, TH",8.320996441,32.3,4,19.47660691,12
5/17/2014,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,19.47660691,8.663632423
5/18/2014,TH000048459,"CHON BURI, TH",22.6,29.4,29.97211155,19.47660691,8.663632423
5/19/2014,TH000048459,"CHON BURI, TH",19.3,30.3,5,16,8
5/20/2014,TH000048459,"CHON BURI, TH",0,31.9,4,15,19
5/21/2014,TH000048459,"CHON BURI, TH",8.320996441,32,3,18,34
5/22/2014,TH000048459,"CHON BURI, TH",8.320996441,31.9,29.97211155,16,13
5/23/2014,TH000048459,"CHON BURI, TH",8.320996441,31.4,5,19.47660691,35
5/24/2014,TH000048459,"CHON BURI, TH",8.320996441,32.5,29.97211155,19.47660691,8.663632423
5/25/2014,TH000048459,"CHON BURI, TH",8.320996441,31.6,29.97211155,15,8.663632423
5/26/2014,TH000048459,"CHON BURI, TH",8.320996441,32.1,29.97211155,9,15
5/27/2014,TH000048459,"CHON BURI, TH",3.3,30.4,29.97211155,18,15
5/28/2014,TH000048459,"CHON BURI, TH",0.5,30.8,29.97211155,19.47660691,11
5/29/2014,TH000048459,"CHON BURI, TH",2.5,31.3,29.97211155,20,8.663632423
5/30/2014,TH000048459,"CHON BURI, TH",1,31.8,4,19.47660691,10
5/31/2014,TH000048459,"CHON BURI, TH",0,31.4,29.97211155,19.47660691,8.663632423
6/1/2014,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,18,8.663632423
6/2/2014,TH000048459,"CHON BURI, TH",8.320996441,32.3,3,16,21
6/3/2014,TH000048459,"CHON BURI, TH",8.320996441,31.1,4,12,23
6/4/2014,TH000048459,"CHON BURI, TH",31,30.1,12,8,40
6/5/2014,TH000048459,"CHON BURI, TH",0.3,29.3,13,17,14
6/6/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,13,19.47660691,23
6/7/2014,TH000048459,"CHON BURI, TH",0.5,29.4,29.97211155,19.47660691,8.663632423
6/8/2014,TH000048459,"CHON BURI, TH",8.4,30,29.97211155,13,8.663632423
6/9/2014,TH000048459,"CHON BURI, TH",1.8,30.7,13,14,10
6/10/2014,TH000048459,"CHON BURI, TH",0.5,30.8,29.97211155,10,9
6/11/2014,TH000048459,"CHON BURI, TH",1.5,30.7,29.97211155,20,22
6/12/2014,TH000048459,"CHON BURI, TH",23.9,29.1,29.97211155,16,17
6/13/2014,TH000048459,"CHON BURI, TH",0.3,30.4,29.97211155,19.47660691,23
6/14/2014,TH000048459,"CHON BURI, TH",0.3,29.6,29.97211155,19.47660691,8.663632423
6/15/2014,TH000048459,"CHON BURI, TH",26.9,29.6,29.97211155,16,8.663632423
6/16/2014,TH000048459,"CHON BURI, TH",2.8,29.4,29.97211155,24,7
6/17/2014,TH000048459,"CHON BURI, TH",7.6,29.1,29.97211155,12,22
6/18/2014,TH000048459,"CHON BURI, TH",1,29.9,16,12,18
6/19/2014,TH000048459,"CHON BURI, TH",0,30.7,18,15,18
6/20/2014,TH000048459,"CHON BURI, TH",0.8,30.4,19,19.47660691,18
6/21/2014,TH000048459,"CHON BURI, TH",8.320996441,30.4,29.97211155,19.47660691,8.663632423
6/22/2014,TH000048459,"CHON BURI, TH",4.3,29.1,29.97211155,16,8.663632423
6/23/2014,TH000048459,"CHON BURI, TH",1.8,29.9,15,19,6
6/24/2014,TH000048459,"CHON BURI, TH",0.5,30.2,14,18,8
6/25/2014,TH000048459,"CHON BURI, TH",15,28.3,13,8,8
6/26/2014,TH000048459,"CHON BURI, TH",4.6,27.6,13,16,7
6/27/2014,TH000048459,"CHON BURI, TH",1,30.2,16,19.47660691,5
6/28/2014,TH000048459,"CHON BURI, TH",0,31.3,29.97211155,19,8.663632423
6/29/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,15,19.47660691,2
6/30/2014,TH000048459,"CHON BURI, TH",8.320996441,29,29.97211155,12,8.663632423
7/1/2014,TH000048459,"CHON BURI, TH",8.320996441,29.8,29.97211155,10,15
7/2/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,15,18,17
7/3/2014,TH000048459,"CHON BURI, TH",8.320996441,30.4,14,16,14
7/4/2014,TH000048459,"CHON BURI, TH",3.3,31.1,13,16,13
7/5/2014,TH000048459,"CHON BURI, TH",0,31.1,29.97211155,19.47660691,8.663632423
7/6/2014,TH000048459,"CHON BURI, TH",8.320996441,31.3,29.97211155,19.47660691,8.663632423
7/7/2014,TH000048459,"CHON BURI, TH",0.3,31,11,20,7
7/8/2014,TH000048459,"CHON BURI, TH",3.6,28.8,12,13,14
7/9/2014,TH000048459,"CHON BURI, TH",8.320996441,29.3,29.97211155,20,10
7/10/2014,TH000048459,"CHON BURI, TH",8.320996441,29.8,29.97211155,18,10
7/11/2014,TH000048459,"CHON BURI, TH",10.2,30.4,29.97211155,19.47660691,8.663632423
7/12/2014,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,19.47660691,8.663632423
7/13/2014,TH000048459,"CHON BURI, TH",16,29.2,29.97211155,19.47660691,8.663632423
7/14/2014,TH000048459,"CHON BURI, TH",26.9,27.7,45,10,11
7/15/2014,TH000048459,"CHON BURI, TH",6.1,28.3,50,14,12
7/16/2014,TH000048459,"CHON BURI, TH",5.6,28.7,20,11,14
7/17/2014,TH000048459,"CHON BURI, TH",0,29.3,29.97211155,23,17
7/18/2014,TH000048459,"CHON BURI, TH",10.4,29,29.97211155,19,16
7/19/2014,TH000048459,"CHON BURI, TH",10.4,27.5,9,11,11
7/20/2014,TH000048459,"CHON BURI, TH",0,29.3,29.97211155,19.47660691,8.663632423
7/21/2014,TH000048459,"CHON BURI, TH",0.5,29.1,17,11,13
7/22/2014,TH000048459,"CHON BURI, TH",9.4,29.6,23,11,12
7/23/2014,TH000048459,"CHON BURI, TH",7.1,29.5,11,17,9
7/24/2014,TH000048459,"CHON BURI, TH",0,29.6,12,17,15
7/25/2014,TH000048459,"CHON BURI, TH",8.320996441,29.8,15,20,6
7/26/2014,TH000048459,"CHON BURI, TH",8.320996441,29.3,29.97211155,19.47660691,8.663632423
7/27/2014,TH000048459,"CHON BURI, TH",8.320996441,29.7,29.97211155,19.47660691,8.663632423
7/28/2014,TH000048459,"CHON BURI, TH",22.6,27.2,10,19.47660691,16
7/29/2014,TH000048459,"CHON BURI, TH",0.5,28.6,13,19.47660691,9
7/30/2014,TH000048459,"CHON BURI, TH",1,28.4,16,19.47660691,6
7/31/2014,TH000048459,"CHON BURI, TH",0.5,29.7,21,12,11
8/1/2014,TH000048459,"CHON BURI, TH",6.9,28.2,15,17,7
8/2/2014,TH000048459,"CHON BURI, TH",0.5,28.7,29.97211155,19.47660691,8.663632423
8/3/2014,TH000048459,"CHON BURI, TH",0,28.9,29.97211155,19.47660691,8.663632423
8/4/2014,TH000048459,"CHON BURI, TH",0.5,29.3,29.97211155,19.47660691,8.663632423
8/5/2014,TH000048459,"CHON BURI, TH",11.2,27.7,13,13,11
8/6/2014,TH000048459,"CHON BURI, TH",10.9,28.7,13,16,7
8/7/2014,TH000048459,"CHON BURI, TH",5.1,27.9,10,14,7
8/8/2014,TH000048459,"CHON BURI, TH",0,28.4,10,16,10
8/9/2014,TH000048459,"CHON BURI, TH",0,29.3,11,15,8
8/10/2014,TH000048459,"CHON BURI, TH",8.320996441,29.2,29.97211155,19.47660691,8.663632423
8/11/2014,TH000048459,"CHON BURI, TH",0.3,29.6,29.97211155,19.47660691,8.663632423
8/12/2014,TH000048459,"CHON BURI, TH",0.3,29.4,29.97211155,19.47660691,8.663632423
8/13/2014,TH000048459,"CHON BURI, TH",8.320996441,29.4,13,16,6
8/14/2014,TH000048459,"CHON BURI, TH",8.320996441,29.2,11,11,17
8/15/2014,TH000048459,"CHON BURI, TH",3,29.4,15,11,11
8/16/2014,TH000048459,"CHON BURI, TH",0,29.4,29.97211155,19.47660691,8.663632423
8/17/2014,TH000048459,"CHON BURI, TH",2.8,29.9,14,16,8
8/18/2014,TH000048459,"CHON BURI, TH",2,29.6,29.97211155,19.47660691,8.663632423
8/19/2014,TH000048459,"CHON BURI, TH",0,29.1,12,16,10
8/20/2014,TH000048459,"CHON BURI, TH",1.8,28.6,17,10,28
8/21/2014,TH000048459,"CHON BURI, TH",0,28.6,14,8,17
8/22/2014,TH000048459,"CHON BURI, TH",0.8,29.7,29.97211155,19.47660691,8.663632423
8/23/2014,TH000048459,"CHON BURI, TH",0,28.9,20,9,13
8/24/2014,TH000048459,"CHON BURI, TH",0,29.1,29.97211155,19.47660691,8.663632423
8/25/2014,TH000048459,"CHON BURI, TH",1.5,28.9,12,19,12
8/26/2014,TH000048459,"CHON BURI, TH",12.7,28,14,10,24
8/27/2014,TH000048459,"CHON BURI, TH",23.1,28.3,14,12,8
8/28/2014,TH000048459,"CHON BURI, TH",6.4,28,10,8,14
8/29/2014,TH000048459,"CHON BURI, TH",17,28.3,12,9,15
8/30/2014,TH000048459,"CHON BURI, TH",2.3,28.1,29.97211155,19.47660691,8.663632423
8/31/2014,TH000048459,"CHON BURI, TH",0,27.7,29.97211155,19.47660691,8.663632423
9/1/2014,TH000048459,"CHON BURI, TH",1.8,27.8,29.97211155,19.47660691,8.663632423
9/2/2014,TH000048459,"CHON BURI, TH",8.6,27.8,11,8,15
9/3/2014,TH000048459,"CHON BURI, TH",5.1,28,13,9,13
9/4/2014,TH000048459,"CHON BURI, TH",6.6,29.1,11,12,10
9/5/2014,TH000048459,"CHON BURI, TH",20.6,28.2,15,12,11
9/6/2014,TH000048459,"CHON BURI, TH",4.3,27.5,29.97211155,19.47660691,8.663632423
9/7/2014,TH000048459,"CHON BURI, TH",1.5,27.4,29.97211155,19.47660691,8.663632423
9/8/2014,TH000048459,"CHON BURI, TH",1,28.8,11,16,7
9/9/2014,TH000048459,"CHON BURI, TH",0,29.7,10,18,10
9/10/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,10,18,12
9/11/2014,TH000048459,"CHON BURI, TH",0.5,28.5,12,14,13
9/12/2014,TH000048459,"CHON BURI, TH",8.320996441,29,14,11,8.663632423
9/13/2014,TH000048459,"CHON BURI, TH",1.3,28.7,15,12,8.663632423
9/14/2014,TH000048459,"CHON BURI, TH",38.1,28.3,29.97211155,19.47660691,8.663632423
9/15/2014,TH000048459,"CHON BURI, TH",39.9,28.7,14,12,8.663632423
9/16/2014,TH000048459,"CHON BURI, TH",0.5,28.3,12,15,8.663632423
9/17/2014,TH000048459,"CHON BURI, TH",5.6,28.9,10,19,8
9/18/2014,TH000048459,"CHON BURI, TH",0.3,28.7,11,10,11
9/19/2014,TH000048459,"CHON BURI, TH",8.320996441,30.4,14,15,9
9/20/2014,TH000048459,"CHON BURI, TH",8.320996441,30.5,29.97211155,19.47660691,8.663632423
9/21/2014,TH000048459,"CHON BURI, TH",8.320996441,30.6,29.97211155,19.47660691,8.663632423
9/22/2014,TH000048459,"CHON BURI, TH",5.1,29.7,12,9,16
9/23/2014,TH000048459,"CHON BURI, TH",0,30.2,13,11,24
9/24/2014,TH000048459,"CHON BURI, TH",5.8,28.2,15,8,14
9/25/2014,TH000048459,"CHON BURI, TH",1.8,29.3,29.97211155,19.47660691,8.663632423
9/26/2014,TH000048459,"CHON BURI, TH",1.8,28.9,29.97211155,19.47660691,8.663632423
9/27/2014,TH000048459,"CHON BURI, TH",6.1,29.7,29.97211155,19.47660691,8.663632423
9/28/2014,TH000048459,"CHON BURI, TH",2.5,29.4,29.97211155,19.47660691,8.663632423
9/29/2014,TH000048459,"CHON BURI, TH",1.8,28.6,18,8,12
9/30/2014,TH000048459,"CHON BURI, TH",80,27.4,16,12,23
10/1/2014,TH000048459,"CHON BURI, TH",32.3,29.2,12,18,13
10/2/2014,TH000048459,"CHON BURI, TH",22.1,27.9,17,16,21
10/3/2014,TH000048459,"CHON BURI, TH",6.1,28.7,20,26,15
10/4/2014,TH000048459,"CHON BURI, TH",0,29.6,29.97211155,19.47660691,8.663632423
10/5/2014,TH000048459,"CHON BURI, TH",0,28.4,29.97211155,23,10
10/6/2014,TH000048459,"CHON BURI, TH",1.5,27.7,13,25,10
10/7/2014,TH000048459,"CHON BURI, TH",5.1,27.4,11,16,8
10/8/2014,TH000048459,"CHON BURI, TH",1.3,26.5,12,15,8
10/9/2014,TH000048459,"CHON BURI, TH",10.9,27.7,13,20,13
10/10/2014,TH000048459,"CHON BURI, TH",32.3,29.6,17,19.47660691,8.663632423
10/11/2014,TH000048459,"CHON BURI, TH",5.8,27.8,29.97211155,19.47660691,8.663632423
10/12/2014,TH000048459,"CHON BURI, TH",1.3,28.8,29.97211155,31,10
10/13/2014,TH000048459,"CHON BURI, TH",0,29.4,23,36,5
10/14/2014,TH000048459,"CHON BURI, TH",8.320996441,28.9,18,40,7
10/15/2014,TH000048459,"CHON BURI, TH",8.320996441,28.9,20,38,8
10/16/2014,TH000048459,"CHON BURI, TH",8.320996441,29.3,23,21,14
10/17/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,27,19.47660691,8.663632423
10/18/2014,TH000048459,"CHON BURI, TH",8.320996441,29.9,29.97211155,19.47660691,8.663632423
10/19/2014,TH000048459,"CHON BURI, TH",1.8,28.3,29.97211155,16,4
10/20/2014,TH000048459,"CHON BURI, TH",30.7,28,16,17,7
10/21/2014,TH000048459,"CHON BURI, TH",9.9,28.8,16,9,18
10/22/2014,TH000048459,"CHON BURI, TH",13.2,29.4,23,19.47660691,8.663632423
10/23/2014,TH000048459,"CHON BURI, TH",25.1,28.3,29.97211155,15,1
10/24/2014,TH000048459,"CHON BURI, TH",21.1,28,12,19.47660691,8.663632423
10/25/2014,TH000048459,"CHON BURI, TH",3.3,28.2,29.97211155,19.47660691,8.663632423
10/26/2014,TH000048459,"CHON BURI, TH",1,28.2,29.97211155,15,7
10/27/2014,TH000048459,"CHON BURI, TH",28.7,28,14,11,21
10/28/2014,TH000048459,"CHON BURI, TH",17.5,27.4,11,14,4
10/29/2014,TH000048459,"CHON BURI, TH",5.3,27.4,20,12,10
10/30/2014,TH000048459,"CHON BURI, TH",0.8,29.3,17,19,35
10/31/2014,TH000048459,"CHON BURI, TH",3,28.9,21,19.47660691,8.663632423
11/1/2014,TH000048459,"CHON BURI, TH",11.2,28.4,29.97211155,19.47660691,8.663632423
11/2/2014,TH000048459,"CHON BURI, TH",2.5,27.9,29.97211155,19.47660691,8.663632423
11/3/2014,TH000048459,"CHON BURI, TH",8.320996441,28.9,29.97211155,19.47660691,8.663632423
11/4/2014,TH000048459,"CHON BURI, TH",17.8,27.1,29.97211155,19.47660691,8.663632423
11/5/2014,TH000048459,"CHON BURI, TH",8.6,28.5,29.97211155,11,12
11/6/2014,TH000048459,"CHON BURI, TH",0.5,29.6,17,14,10
11/7/2014,TH000048459,"CHON BURI, TH",0,28.3,17,19.47660691,8.663632423
11/8/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,19.47660691,8.663632423
11/9/2014,TH000048459,"CHON BURI, TH",8.320996441,29.8,29.97211155,18,3
11/10/2014,TH000048459,"CHON BURI, TH",8.320996441,29.7,19,12,19
11/11/2014,TH000048459,"CHON BURI, TH",8.320996441,30.1,18,17,25
11/12/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,28,20,3
11/13/2014,TH000048459,"CHON BURI, TH",8.320996441,30.1,20,24,2
11/14/2014,TH000048459,"CHON BURI, TH",8.320996441,28.6,11,19.47660691,8.663632423
11/15/2014,TH000048459,"CHON BURI, TH",8.320996441,28.9,29.97211155,19.47660691,8.663632423
11/16/2014,TH000048459,"CHON BURI, TH",2,28.9,29.97211155,25,2
11/17/2014,TH000048459,"CHON BURI, TH",8.320996441,28.8,8,30,1
11/18/2014,TH000048459,"CHON BURI, TH",8.320996441,27.8,13,33,2
11/19/2014,TH000048459,"CHON BURI, TH",8.320996441,26.4,13,33,3
